연번,역번호,호선,역명,역전화번호,도로명주소,지번주소,gu,law_code,name_std,lat,lon,geo_status
92,340,3,가락시장,02-6110-3501,서울특별시 송파구 송파대로 지하257(가락동),서울특별시 송파구 가락동 184-23 가락시장역(3호선),송파구,11240,가락시장역,37.4956865,127.1184047,OK
266,2818,8,가락시장,02-6311-8171,서울특별시 송파구 송파대로 지하257(가락동),서울특별시 송파구 가락동 184-23 가락시장역(8호선),송파구,11240,가락시장역,37.4956865,127.1184047,OK
253,2748,7,가산디지털단지,02-6311-7461,서울특별시 금천구 벚꽃로 309(가산동),서울특별시 금천구 가산동 468-4 가산디지털단지역(7호선),금천구,11180,가산디지털단지역,37.4824123,126.8822401,OK
,,,,,,,,,가산디지털단지역9번출구,37.48058596,126.88164,
,,9,,,,,,,가양역,37.561391,126.854456,
237,2732,7,강남구청,02-6311-7301,서울특별시 강남구 학동로 지하346(삼성동),서울특별시 강남구 삼성동 111-44 강남구청역(7호선),강남구,11230,강남구청역,37.51673170000001,127.042221,OK
32,222,2,강남,02-6110-2221,서울특별시 강남구 강남대로 지하396(역삼동),서울특별시 강남구 역삼동 858 강남역(2호선),강남구,11230,강남역,37.5000776,127.0385419,OK
,,,,,,,,,강남역,37.496068,127.028506,
,,,,,,,,,강남역11번출구,37.49887168,127.0275256,
,,,,,,,,,강남역10번출구,37.4986655,127.027028,
,,,,,,,,,강남역3번출구,37.49674957,127.0285002,
,,,,,,,,,강남역5번출구,37.4953331,127.0286295,
,,,,,,,,,강남역6번출구,37.4965226,127.0280671,
,,,,,,,,,강남역7번출구,37.4971847,127.0277566,
,,,,,,,,,강남역8번출구,37.497534,127.0271862,
,,,,,,,,,강남역9번출구,37.4979524,127.0268637,
261,2813,8,강동구청,02-6311-8121,서울특별시 강동구 올림픽로 지하550(성내동),서울특별시 강동구 성내동 319 강동구청역(8호선),강동구,11250,강동구청역,37.5291562,127.1237948,OK
159,2549,5,강동,02-6311-5481,서울특별시 강동구 천호대로 지하1097(천호동),서울특별시 강동구 천호동 447 강동역(5호선),강동구,11250,강동역,37.5443765,127.1276202,OK
24,214,2,강변(동서울터미널),02-6110-2141,서울특별시 광진구 강변역로 53(구의동),서울특별시 광진구 구의동 546-6 강변역(2호선),광진구,11050,강변역,37.5353816,127.0945451,OK
172,2562,5,강일,02-6311-5611,서울특별시 강동구 고덕로 지하456(강일동),서울특별시 강동구 상일동 산73 강일역(5호선),강동구,11250,강일역,37.5570545,127.169184,OK
169,2559,5,개롱,02-6311-5581,서울특별시 송파구 오금로 지하402(가락동),서울특별시 송파구 가락동 165-2 개롱역(5호선),송파구,11240,개롱역,37.4956865,127.1184047,OK
122,2512,5,개화산,02-6311-5111,서울특별시 강서구 양천로 22(방화동),서울특별시 강서구 방화동 846 개화산역(5호선),강서구,11160,개화산역,37.564519,126.8110207,OK
,,9,,,,,,,개화역,37.578608,126.798153,
170,2560,5,거여,02-6311-5591,서울특별시 송파구 오금로 지하499(거여동),서울특별시 송파구 거여동 20-14 거여역(5호선),송파구,11240,거여역,37.4897279,127.1449912,OK
22,212,2,건대입구,02-6110-2121,서울특별시 광진구 아차산로 243(화양동),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),광진구,11050,건대입구역,37.5432534,127.07341,OK
234,2729,7,건대입구,02-6311-7271,서울특별시 광진구 능동로 지하110(화양동),서울특별시 광진구 화양동 6-3 건대입구역(7호선),광진구,11050,건대입구역,37.5463089,127.0729231,OK
,,,,,,,,,건대입구역1번출구,37.54074702,127.0687223,
69,317,3,경복궁(정부서울청사),02-6110-3271,서울특별시 종로구 사직로 지하130(적선동),서울특별시 종로구 적선동 81-1 경복궁역(3호선),종로구,11010,경복궁역,37.574115,126.9743671,OK
93,341,3,경찰병원,02-6110-3511,서울특별시 송파구 중대로 지하149(가락동),서울특별시 송파구 가락동 10-15 경찰병원역(3호선),송파구,11240,경찰병원역,37.491717,127.115294,OK
163,2553,5,고덕,02-6311-5521,서울특별시 강동구 고덕로 지하253(고덕동),서울특별시 강동구 고덕동 310 고덕역(5호선),강동구,11250,고덕역,37.5560941,127.1544506,OK
207,2641,6,고려대(종암),02-6311-6401,서울특별시 성북구 종암로 지하1(종암동),서울특별시 성북구 종암동 29-18 고려대역(6호선),성북구,11080,고려대역,37.5981288,127.0404024,OK
81,329,3,고속터미널,02-6110-3391,서울특별시 서초구 신반포로 지하188(반포동),서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서초구,11220,고속터미널역,37.5054982,127.0011512,OK
